Timestamp,Face Status,Eye Status
2026-01-25 12:11:25,No Face Detected,No Face Detected
2026-01-25 12:11:25,No Face Detected,No Face Detected
2026-01-25 12:11:25,No Face Detected,No Face Detected
2026-01-25 12:11:25,No Face Detected,No Face Detected
2026-01-25 12:11:25,No Face Detected,No Face Detected
2026-01-25 12:11:25,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:26,No Face Detected,No Face Detected
2026-01-25 12:11:27,No Face Detected,No Face Detected
2026-01-25 12:11:27,No Face Detected,No Face Detected
2026-01-25 12:11:27,No Face Detected,No Face Detected
2026-01-25 12:11:27,No Face Detected,No Face Detected
2026-01-25 12:11:27,No Face Detected,No Face Detected
2026-01-25 12:11:27,No Face Detected,No Face Detected
2026-01-25 12:11:27,No Face Detected,No Face Detected
2026-01-25 12:11:27,No Face Detected,No Face Detected
2026-01-25 12:11:27,No Face Detected,No Face Detected
2026-01-25 12:11:27,No Face Detected,No Face Detected
2026-01-25 12:11:27,No Face Detected,No Face Detected
2026-01-25 12:11:27,No Face Detected,No Face Detected
2026-01-25 12:11:27,No Face Detected,No Face Detected
2026-01-25 12:11:27,No Face Detected,No Face Detected
2026-01-25 12:11:27,No Face Detected,No Face Detected
2026-01-25 12:11:27,No Face Detected,No Face Detected
2026-01-25 12:11:27,No Face Detected,No Face Detected
2026-01-25 12:11:27,No Face Detected,No Face Detected
2026-01-25 12:11:27,No Face Detected,No Face Detected
2026-01-25 12:11:27,No Face Detected,No Face Detected
2026-01-25 12:11:27,No Face Detected,No Face Detected
2026-01-25 12:11:27,No Face Detected,No Face Detected
2026-01-25 12:11:27,No Face Detected,No Face Detected
2026-01-25 12:11:27,No Face Detected,No Face Detected
2026-01-25 12:11:27,No Face Detected,No Face Detected
2026-01-25 12:11:27,No Face Detected,No Face Detected
2026-01-25 12:11:27,No Face Detected,No Face Detected
2026-01-25 12:11:27,No Face Detected,No Face Detected
2026-01-25 12:11:28,No Face Detected,No Face Detected
2026-01-25 12:11:28,No Face Detected,No Face Detected
2026-01-25 12:11:28,No Face Detected,No Face Detected
2026-01-25 12:11:28,No Face Detected,No Face Detected
2026-01-25 12:11:28,No Face Detected,No Face Detected
2026-01-25 12:11:28,No Face Detected,No Face Detected
2026-01-25 12:11:28,No Face Detected,No Face Detected
2026-01-25 12:11:28,No Face Detected,No Face Detected
2026-01-25 12:11:28,No Face Detected,No Face Detected
2026-01-25 12:11:28,No Face Detected,No Face Detected
2026-01-25 12:11:28,No Face Detected,No Face Detected
