Timestamp,Face Status,Eye Status,Away Duration (sec)
2026-01-25 12:22:49,Normal,Looking Away,0
2026-01-25 12:22:49,Normal,Looking Away,0
2026-01-25 12:22:49,Normal,Looking Away,0
2026-01-25 12:22:49,No Face Detected,No Face Detected,0.16
2026-01-25 12:22:49,No Face Detected,No Face Detected,0.16
2026-01-25 12:22:49,Normal,Looking Away,0.16
2026-01-25 12:22:49,Normal,Looking Away,0.16
2026-01-25 12:22:49,Normal,Looking Away,0.16
2026-01-25 12:22:49,Normal,Looking Away,0.16
2026-01-25 12:22:49,Normal,Looking Away,0.16
2026-01-25 12:22:49,Normal,Looking Away,0.16
2026-01-25 12:22:49,No Face Detected,No Face Detected,0.36
2026-01-25 12:22:49,No Face Detected,No Face Detected,0.36
2026-01-25 12:22:50,No Face Detected,No Face Detected,0.36
2026-01-25 12:22:50,No Face Detected,No Face Detected,0.36
2026-01-25 12:22:50,No Face Detected,No Face Detected,0.36
2026-01-25 12:22:50,No Face Detected,No Face Detected,0.36
2026-01-25 12:22:50,No Face Detected,No Face Detected,0.36
2026-01-25 12:22:50,No Face Detected,No Face Detected,0.36
2026-01-25 12:22:50,Normal,Looking Away,0.36
2026-01-25 12:22:50,Normal,Looking Away,0.36
2026-01-25 12:22:50,Normal,Looking Away,0.36
2026-01-25 12:22:50,Normal,Looking Away,0.36
2026-01-25 12:22:50,No Face Detected,No Face Detected,0.48
2026-01-25 12:22:50,No Face Detected,No Face Detected,0.48
2026-01-25 12:22:50,Normal,Looking Away,0.48
2026-01-25 12:22:50,Normal,Looking Away,0.48
2026-01-25 12:22:50,No Face Detected,No Face Detected,0.55
2026-01-25 12:22:50,No Face Detected,No Face Detected,0.55
2026-01-25 12:22:50,No Face Detected,No Face Detected,0.55
2026-01-25 12:22:50,No Face Detected,No Face Detected,0.55
2026-01-25 12:22:50,No Face Detected,No Face Detected,0.55
2026-01-25 12:22:50,No Face Detected,No Face Detected,0.55
2026-01-25 12:22:50,No Face Detected,No Face Detected,0.55
